Distrito,Concelho,Codigo_Concelho,Cluster,Nome_Cluster
Aveiro,Albergaria-a-Velha,102,2,Urbanos de Perfil Médio
Aveiro,Anadia,103,2,Urbanos de Perfil Médio
Aveiro,Arouca,104,2,Urbanos de Perfil Médio
Aveiro,Aveiro,105,2,Urbanos de Perfil Médio
Aveiro,Castelo de Paiva,106,2,Urbanos de Perfil Médio
Aveiro,Espinho,107,4,Zona Metropolitana Densa
Aveiro,Estarreja,108,3,Polos Industriais MAT
Aveiro,Mealhada,111,2,Urbanos de Perfil Médio
Aveiro,Murtosa,112,2,Urbanos de Perfil Médio
Aveiro,Oliveira de Azeméis,113,2,Urbanos de Perfil Médio
Aveiro,Oliveira do Bairro,114,2,Urbanos de Perfil Médio
Aveiro,Ovar,115,2,Urbanos de Perfil Médio
Aveiro,Santa Maria da Feira,109,2,Urbanos de Perfil Médio
Aveiro,Sever do Vouga,117,1,Rurais e Periféricos
Aveiro,São João da Madeira,116,4,Zona Metropolitana Densa
Aveiro,Vagos,118,2,Urbanos de Perfil Médio
Aveiro,Vale de Cambra,119,2,Urbanos de Perfil Médio
Aveiro,Águeda,101,2,Urbanos de Perfil Médio
Aveiro,Ílhavo,110,2,Urbanos de Perfil Médio
Beja,Aljustrel,201,3,Polos Industriais MAT
Beja,Almodôvar,202,2,Urbanos de Perfil Médio
Beja,Alvito,203,2,Urbanos de Perfil Médio
Beja,Barrancos,204,2,Urbanos de Perfil Médio
Beja,Beja,205,2,Urbanos de Perfil Médio
Beja,Castro Verde,206,1,Rurais e Periféricos
Beja,Cuba,207,1,Rurais e Periféricos
Beja,Ferreira do Alentejo,208,2,Urbanos de Perfil Médio
Beja,Moura,210,2,Urbanos de Perfil Médio
Beja,Mértola,209,1,Rurais e Periféricos
Beja,Odemira,211,1,Rurais e Periféricos
Beja,Ourique,212,1,Rurais e Periféricos
Beja,Serpa,213,2,Urbanos de Perfil Médio
Beja,Vidigueira,214,1,Rurais e Periféricos
Braga,Amares,301,2,Urbanos de Perfil Médio
Braga,Barcelos,302,2,Urbanos de Perfil Médio
Braga,Braga,303,2,Urbanos de Perfil Médio
Braga,Cabeceiras de Basto,304,1,Rurais e Periféricos
Braga,Celorico de Basto,305,2,Urbanos de Perfil Médio
Braga,Esposende,306,1,Rurais e Periféricos
Braga,Fafe,307,1,Rurais e Periféricos
Braga,Guimarães,308,2,Urbanos de Perfil Médio
Braga,Póvoa de Lanhoso,309,2,Urbanos de Perfil Médio
Braga,Terras de Bouro,310,1,Rurais e Periféricos
Braga,Vieira do Minho,311,1,Rurais e Periféricos
Braga,Vila Nova de Famalicão,312,2,Urbanos de Perfil Médio
